"id","code","description","parent_id:id"
"cnae_C2434","C2434","Trefilado en frío","cnae_C243"
"cnae_C244","C244","Producción de metales preciosos y de otros metales no férreos","cnae_C24"
"cnae_C2441","C2441","Producción de metales preciosos","cnae_C244"
"cnae_C2442","C2442","Producción de aluminio","cnae_C244"
"cnae_C2443","C2443","Producción de plomo, zinc y estaño","cnae_C244"
"cnae_C2444","C2444","Producción de cobre","cnae_C244"
"cnae_C2445","C2445","Producción de otros metales no férreos","cnae_C244"
"cnae_C2446","C2446","Procesamiento de combustibles nucleares","cnae_C244"
"cnae_C245","C245","Fundición de metales","cnae_C24"
"cnae_C2451","C2451","Fundición de hierro","cnae_C245"
"cnae_C2452","C2452","Fundición de acero","cnae_C245"
"cnae_C2453","C2453","Fundición de metales ligeros","cnae_C245"
"cnae_C2454","C2454","Fundición de otros metales no férreos","cnae_C245"
"cnae_C25","C25","Fabricación de productos metálicos, excepto maquinaria y equipo","cnae_C"
"cnae_C251","C251","Fabricación de elementos metálicos para la construcción","cnae_C25"
"cnae_C2511","C2511","Fabricación de estructuras metálicas y sus componentes","cnae_C251"
"cnae_C2512","C2512","Fabricación de carpintería metálica","cnae_C251"
"cnae_C252","C252","Fabricación de cisternas, grandes depósitos y contenedores de metal","cnae_C25"
"cnae_C2521","C2521","Fabricación de radiadores y calderas para calefacción central","cnae_C252"
"cnae_C2529","C2529","Fabricación de otras cisternas, grandes depósitos y contenedores de metal","cnae_C252"
"cnae_C253","C253","Fabricación de generadores de vapor, excepto calderas de calefacción central","cnae_C25"
"cnae_C2530","C2530","Fabricación de generadores de vapor, excepto calderas de calefacción central","cnae_C253"
"cnae_C254","C254","Fabricación de armas y municiones","cnae_C25"
"cnae_C2540","C2540","Fabricación de armas y municiones","cnae_C254"
"cnae_C255","C255","Forja, estampación y embutición de metales; metalurgia de polvos","cnae_C25"
"cnae_C2550","C2550","Forja, estampación y embutición de metales; metalurgia de polvos","cnae_C255"
"cnae_C256","C256","Tratamiento y revestimiento de metales; ingeniería mecánica por cuenta de terceros","cnae_C25"
"cnae_C2561","C2561","Tratamiento y revestimiento de metales","cnae_C256"
"cnae_C2562","C2562","Ingeniería mecánica por cuenta de terceros","cnae_C256"
"cnae_C257","C257","Fabricación de artículos de cuchillería y cubertería, herramientas y ferretería","cnae_C25"
"cnae_C2571","C2571","Fabricación de artículos de cuchillería y cubertería","cnae_C257"
"cnae_C2572","C2572","Fabricación de cerraduras y herrajes","cnae_C257"
"cnae_C2573","C2573","Fabricación de herramientas","cnae_C257"
"cnae_C259","C259","Fabricación de otros productos metálicos","cnae_C25"
"cnae_C2591","C2591","Fabricación de bidones y toneles de hierro o acero","cnae_C259"
"cnae_C2592","C2592","Fabricación de envases y embalajes metálicos ligeros","cnae_C259"
"cnae_C2593","C2593","Fabricación de productos de alambre, cadenas y muelles","cnae_C259"
"cnae_C2594","C2594","Fabricación de pernos y productos de tornillería","cnae_C259"
"cnae_C2599","C2599","Fabricación de otros productos metálicos n.c.o.p.","cnae_C259"
"cnae_C26","C26","Fabricación de productos informáticos, electrónicos y ópticos","cnae_C"
"cnae_C261","C261","Fabricación de componentes electrónicos y circuitos impresos ensamblados","cnae_C26"
"cnae_C2611","C2611","Fabricación de componentes electrónicos","cnae_C261"
"cnae_C2612","C2612","Fabricación de circuitos impresos ensamblados","cnae_C261"
"cnae_C262","C262","Fabricación de ordenadores y equipos periféricos","cnae_C26"
"cnae_C2620","C2620","Fabricación de ordenadores y equipos periféricos","cnae_C262"
"cnae_C263","C263","Fabricación de equipos de telecomunicaciones","cnae_C26"
"cnae_C2630","C2630","Fabricación de equipos de telecomunicaciones","cnae_C263"
"cnae_C264","C264","Fabricación de productos electrónicos de consumo","cnae_C26"
"cnae_C2640","C2640","Fabricación de productos electrónicos de consumo","cnae_C264"
"cnae_C265","C265","Fabricación de instrumentos y aparatos de medida, verificación y navegación; fabricación de relojes","cnae_C26"
"cnae_C2651","C2651","Fabricación de instrumentos y aparatos de medida, verificación y navegación","cnae_C265"
"cnae_C2652","C2652","Fabricación de relojes","cnae_C265"
"cnae_C266","C266","Fabricación de equipos de radiación, electromédicos y electroterapéuticos","cnae_C26"
"cnae_C2660","C2660","Fabricación de equipos de radiación, electromédicos y electroterapéuticos","cnae_C266"
"cnae_C267","C267","Fabricación de instrumentos de óptica y equipo fotográfico","cnae_C26"
"cnae_C2670","C2670","Fabricación de instrumentos de óptica y equipo fotográfico","cnae_C267"
"cnae_C268","C268","Fabricación de soportes magnéticos y ópticos","cnae_C26"
"cnae_C2680","C2680","Fabricación de soportes magnéticos y ópticos","cnae_C268"
"cnae_C27","C27","Fabricación de material y equipo eléctrico","cnae_C"
"cnae_C271","C271","Fabricación de motores, generadores y transformadores eléctricos, y de aparatos de distribución y control eléctrico","cnae_C27"
"cnae_C2711","C2711","Fabricación de motores, generadores y transformadores eléctricos","cnae_C271"
"cnae_C2712","C2712","Fabricación de aparatos de distribución y control eléctrico","cnae_C271"
"cnae_C272","C272","Fabricación de pilas y acumuladores eléctricos","cnae_C27"
"cnae_C2720","C2720","Fabricación de pilas y acumuladores eléctricos","cnae_C272"
"cnae_C273","C273","Fabricación de cables y dispositivos de cableado","cnae_C27"
"cnae_C2731","C2731","Fabricación de cables de fibra óptica","cnae_C273"
"cnae_C2732","C2732","Fabricación de otros hilos y cables electrónicos y eléctricos","cnae_C273"
"cnae_C2733","C2733","Fabricación de dispositivos de cableado","cnae_C273"
"cnae_C274","C274","Fabricación de lámparas y aparatos eléctricos de iluminación","cnae_C27"
"cnae_C2740","C2740","Fabricación de lámparas y aparatos eléctricos de iluminación","cnae_C274"
"cnae_C275","C275","Fabricación de aparatos domésticos","cnae_C27"
"cnae_C2751","C2751","Fabricación de electrodomésticos","cnae_C275"
"cnae_C2752","C2752","Fabricación de aparatos domésticos no eléctricos","cnae_C275"
"cnae_C279","C279","Fabricación de otro material y equipo eléctrico","cnae_C27"
