"code","name"
"512130027205","TÉCNICO SUPERIOR en Animaciones 3D, Juegos y Entornos Interactivos"
"512130027206","TÉCNICO SUPERIOR en Realización de proyectos audiovisuales y espectáculos"
"512130027207","TÉCNICO SUPERIOR en Producción de audiovisuales y espectáculos"
"512130027208","TÉCNICO SUPERIOR en Sonido para audiovisuales y espectáculos"
"512130027209","TÉCNICO SUPERIOR en Iluminación, Captación y Tratamiento de Imagen"
"512130031401","TÉCNICO SUPERIOR DE ARTES PLÁSTICAS Y DISEÑO edición de arte"
"512130031402","TÉCNICO SUPERIOR DE ARTES PLÁSTICAS Y DISEÑO encuadernación artística"
"512130031403","TÉCNICO SUPERIOR DE ARTES PLÁSTICAS Y DISEÑO grabado y técnicas de estampación"
"512130032201","TÉCNICO SUPERIOR DE ARTES PLÁSTICAS Y DISEÑO fotografía artística"
"512130032202","TÉCNICO SUPERIOR DE ARTES PLÁSTICAS Y DISEÑO ilustración"
"512130032203","TÉCNICO SUPERIOR DE ARTES PLÁSTICAS Y DISEÑO gráfica publicitaria"
"512130032204","TÉCNICO SUPERIOR DE ARTES PLÁSTICAS Y DISEÑO en Animación"
"512130032205","TÉCNICO SUPERIOR DE ARTES PLÁSTICAS Y DISEÑO en Gráfica Interactiva"
"512130032206","TÉCNICO SUPERIOR DE ARTES PLÁSTICAS Y DISEÑO en Gráfica Impresa"
"512130032207","TÉCNICO SUPERIOR DE ARTES PLÁSTICAS Y DISEÑO en Gráfica Audiovisual"
"512130032209","TÉCNICO SUPERIOR DE ARTES PLÁSTICAS Y DISEÑO en Cómic"
"512140031301","TÉCNICO SUPERIOR DE ARTES PLÁSTICAS Y DISEÑO estilismo de indumentaria"
"512140031302","TÉCNICO SUPERIOR DE ARTES PLÁSTICAS Y DISEÑO modelismo de indumentaria"
"512140032101","TÉCNICO SUPERIOR DE ARTES PLÁSTICAS Y DISEÑO amueblamiento"
"512140032102","TÉCNICO SUPERIOR DE ARTES PLÁSTICAS Y DISEÑO arquitectura efímera"
"512140032103","TÉCNICO SUPERIOR DE ARTES PLÁSTICAS Y DISEÑO elementos de jardín"
"512140032104","TÉCNICO SUPERIOR DE ARTES PLÁSTICAS Y DISEÑO escaparatismo"
"512140032105","TÉCNICO SUPERIOR DE ARTES PLÁSTICAS Y DISEÑO proyectos y dirección de obras de decoración"
"512140032301","TÉCNICO SUPERIOR DE ARTES PLÁSTICAS Y DISEÑO mobiliario"
"512140032302","TÉCNICO SUPERIOR DE ARTES PLÁSTICAS Y DISEÑO modelismo industrial"
