"id","code","description"
"ocu_209","3403","Tenedores de libros"
"ocu_210","3404","Profesionales de apoyo en servicios estadísticos"
"ocu_211","3405","Tasadores"
"ocu_212","3510","Agentes y representantes comerciales"
"ocu_213","3521","Mediadores y agentes de seguros"
"ocu_214","3522","Agentes de compras"
"ocu_215","3523","Consignatarios"
"ocu_216","3531","Representantes de aduanas"
"ocu_217","3532","Organizadores de conferencias y eventos"
"ocu_218","3533","Agentes o intermediarios en la contratación de la mano de obra (excepto representantes de espectáculos)"
"ocu_219","3534","Agentes y administradores de la propiedad inmobiliaria"
"ocu_220","3535","Portavoces y agentes de relaciones públicas"
"ocu_221","3539","Representantes artísticos y deportivos y otros agentes de servicios comerciales no clasificados bajo otros epígrafes"
"ocu_222","3611","Supervisores de secretaría"
"ocu_223","3612","Asistentes jurídico-legales"
"ocu_224","3613","Asistentes de dirección y administrativos"
"ocu_225","3614","Secretarios de centros médicos o clínicas"
"ocu_226","3621","Profesionales de apoyo de la Administración Pública de tributos"
"ocu_227","3622","Profesionales de apoyo de la Administración Pública de servicios sociales"
"ocu_228","3623","Profesionales de apoyo de la Administración Pública de servicios de expedición de licencias"
"ocu_229","3629","Otros profesionales de apoyo de la Administración Pública para tareas de inspección y control y tareas similares"
"ocu_230","3631","Técnicos de la policía nacional"
"ocu_231","3632","Suboficiales de la guardia civil"
"ocu_232","3711","Profesionales de apoyo de servicios jurídicos y servicios similares"
"ocu_233","3712","Detectives privados"
"ocu_234","3713","Profesionales de apoyo al trabajo y a la educación social"
"ocu_235","3714","Promotores de igualdad de oportunidades entre mujeres y hombres"
"ocu_236","3715","Animadores comunitarios"
"ocu_237","3716","Auxiliares laicos de las religiones"
"ocu_238","3721","Atletas y deportistas"
"ocu_239","3722","Entrenadores y árbitros de actividades deportivas"
"ocu_240","3723","Instructores de actividades deportivas"
"ocu_241","3724","Monitores de actividades recreativas y de entretenimiento"
"ocu_242","3731","Fotógrafos"
"ocu_243","3732","Diseñadores y decoradores de interior"
"ocu_244","3733","Técnicos en galerías de arte"
"ocu_245","3734","Chefs"
"ocu_246","3739","Otros técnicos y profesionales de apoyo de actividades culturales y artísticas"
"ocu_247","3811","Técnicos en operaciones de sistemas informáticos"
"ocu_248","3812","Técnicos en asistencia al usuario de tecnologías de la información"
"ocu_249","3813","Técnicos en redes"
"ocu_250","3814","Técnicos de la Web"
"ocu_251","3820","Programadores informáticos"
"ocu_252","3831","Técnicos de grabación audiovisual"
"ocu_253","3832","Técnicos de radiodifusión"
"ocu_254","3833","Técnicos de ingeniería de las telecomunicaciones"
"ocu_255","4111","Empleados de contabilidad"
"ocu_256","4112","Empleados de control de personal y nóminas"
"ocu_257","4113","Empleados de oficina de servicios estadísticos"
"ocu_258","4121","Empleados de control de abastecimientos e inventario"
"ocu_259","4122","Empleados de oficina de servicios de apoyo a la producción"
"ocu_260","4123","Empleados de logística y transporte de pasajeros y mercancías"
"ocu_261","4210","Empleados de bibliotecas y archivos"
"ocu_262","4221","Empleados de servicios de correos (excepto empleados de mostrador)"
"ocu_263","4222","Codificadores y correctores de imprenta"
"ocu_264","4223","Empleados de servicio de personal"
"ocu_265","4301","Grabadores de datos"
"ocu_266","4309","Empleados administrativos sin tareas de atención al público no clasificados bajo otros epígrafes"
"ocu_267","4411","Empleados de información al usuario"
"ocu_268","4412","Recepcionistas (excepto de hoteles)"
"ocu_269","4421","Empleados de agencias de viajes"
"ocu_270","4422","Recepcionistas de hoteles"
"ocu_271","4423","Telefonistas"
"ocu_272","4424","Teleoperadores"
"ocu_273","4430","Agentes de encuestas"
"ocu_274","4441","Cajeros de bancos y afines"
"ocu_275","4442","Empleados de venta de apuestas"
"ocu_276","4443","Empleados de sala de juegos y afines"
"ocu_277","4444","Empleados de casas de empeño y de préstamos"
"ocu_278","4445","Cobradores de facturas"
"ocu_279","4446","Empleados de mostrador de correos"
"ocu_280","4500","Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes"
"ocu_281","5000","Camareros y cocineros propietarios"
"ocu_282","5110","Cocineros asalariados"
"ocu_283","5120","Camareros asalariados"
"ocu_284","5210","Jefes de sección de tiendas y almacenes"
"ocu_285","5220","Vendedores en tiendas y almacenes"
"ocu_286","5300","Comerciantes propietarios de tiendas"
"ocu_287","5411","Vendedores en quioscos"
"ocu_288","5412","Vendedores en mercados ocasionales y mercadillos"
"ocu_289","5420","Operadores de telemarketing"
"ocu_290","5430","Expendedores de gasolineras"
"ocu_291","5491","Vendedores a domicilio"
"ocu_292","5492","Promotores de venta"
"ocu_293","5493","Modelos de moda"
"ocu_294","5499","Vendedores no clasificados bajo otros epígrafes"
"ocu_295","5500","Cajeros y taquilleros (excepto bancos)"
"ocu_296","5611","Auxiliares de enfermería hospitalaria"
"ocu_297","5612","Auxiliares de enfermería de atención primaria"
"ocu_298","5621","Técnicos auxiliares de farmacia"
"ocu_299","5622","Técnicos de emergencias sanitarias"
